"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"357","Stevens County","4",15,19,"2628"
"358","Stevens County","5",20,24,"2009"
"359","Stevens County","6",25,29,"2249"
"360","Stevens County","7",30,34,"2147"
"361","Stevens County","8",35,39,"2344"
"362","Stevens County","9",40,44,"2452"
"363","Stevens County","10",45,49,"2536"
"364","Stevens County","11",50,54,"2731"
"365","Stevens County","12",55,59,"3516"
"366","Stevens County","13",60,64,"4228"
"367","Stevens County","14",65,69,"3833"
"368","Stevens County","15",70,74,"2993"
"369","Stevens County","16",75,79,"1981"
"370","Stevens County","17",80,84,"1118"
"371","Stevens County","18",85,Inf,"989"
"372","Stevens County","19",0,17,"9686"
"373","Stevens County","20",5,13,"4980"
"374","Stevens County","21",14,17,"2338"
"375","Stevens County","22",18,64,"25123"
"376","Stevens County","23",18,24,"2920"
"377","Stevens County","24",25,44,"9192"
"378","Stevens County","25",45,64,"13011"
"379","Stevens County","26",65,Inf,"10914"
"380","Stevens County","27",85,Inf,"989"
"381","Stevens County","28",16,Inf,"37160"
"382","Stevens County","29",18,Inf,"36037"
"383","Stevens County","30",15,44,"13829"
"384","Stevens County","31",NA,NA,"47.3"
"385","Spokane County","0",0,Inf,"522798"
"386","Spokane County","1",0,4,"31201"
"387","Spokane County","2",5,9,"32197"
"388","Spokane County","3",10,14,"32379"
"389","Spokane County","4",15,19,"32603"
"390","Spokane County","5",20,24,"34504"
"391","Spokane County","6",25,29,"40696"
"392","Spokane County","7",30,34,"38397"
"393","Spokane County","8",35,39,"35345"
"394","Spokane County","9",40,44,"30420"
"395","Spokane County","10",45,49,"30788"
"396","Spokane County","11",50,54,"30108"
"397","Spokane County","12",55,59,"34245"
"398","Spokane County","13",60,64,"33292"
"399","Spokane County","14",65,69,"29717"
"400","Spokane County","15",70,74,"22868"
"401","Spokane County","16",75,79,"14892"
"402","Spokane County","17",80,84,"9285"
"403","Spokane County","18",85,Inf,"9861"
"404","Spokane County","19",0,17,"114853"
"405","Spokane County","20",5,13,"58223"
"406","Spokane County","21",14,17,"25429"
"407","Spokane County","22",18,64,"321322"
"408","Spokane County","23",18,24,"48031"
"409","Spokane County","24",25,44,"144858"
"410","Spokane County","25",45,64,"128433"
"411","Spokane County","26",65,Inf,"86623"
"412","Spokane County","27",85,Inf,"9861"
"413","Spokane County","28",16,Inf,"420649"
"414","Spokane County","29",18,Inf,"407945"
"415","Spokane County","30",15,44,"211965"
"416","Spokane County","31",NA,NA,"37.7"
"417","Lincoln County","0",0,Inf,"10939"
"418","Lincoln County","1",0,4,"596"
"419","Lincoln County","2",5,9,"636"
"420","Lincoln County","3",10,14,"704"
"421","Lincoln County","4",15,19,"668"
"422","Lincoln County","5",20,24,"457"
"423","Lincoln County","6",25,29,"465"
"424","Lincoln County","7",30,34,"492"
"425","Lincoln County","8",35,39,"576"
"426","Lincoln County","9",40,44,"586"
"427","Lincoln County","10",45,49,"559"
"428","Lincoln County","11",50,54,"610"
"429","Lincoln County","12",55,59,"780"
"430","Lincoln County","13",60,64,"977"
"431","Lincoln County","14",65,69,"907"
"432","Lincoln County","15",70,74,"752"
"433","Lincoln County","16",75,79,"485"
"434","Lincoln County","17",80,84,"345"
"435","Lincoln County","18",85,Inf,"344"
"436","Lincoln County","19",0,17,"2378"
"437","Lincoln County","20",5,13,"1174"
"438","Lincoln County","21",14,17,"608"
"439","Lincoln County","22",18,64,"5728"
"440","Lincoln County","23",18,24,"683"
"441","Lincoln County","24",25,44,"2119"
"442","Lincoln County","25",45,64,"2926"
"443","Lincoln County","26",65,Inf,"2833"
"444","Lincoln County","27",85,Inf,"344"
"445","Lincoln County","28",16,Inf,"8864"
"446","Lincoln County","29",18,Inf,"8561"
"447","Lincoln County","30",15,44,"3244"
"448","Lincoln County","31",NA,NA,"47.9"
"449","Chelan County","0",0,Inf,"77200"
"450","Chelan County","1",0,4,"4738"
"451","Chelan County","2",5,9,"5082"
"452","Chelan County","3",10,14,"5145"
"453","Chelan County","4",15,19,"4683"
"454","Chelan County","5",20,24,"4400"
"455","Chelan County","6",25,29,"4887"
"456","Chelan County","7",30,34,"4828"
"457","Chelan County","8",35,39,"4864"
"458","Chelan County","9",40,44,"4311"
"459","Chelan County","10",45,49,"4107"
"460","Chelan County","11",50,54,"4360"
"461","Chelan County","12",55,59,"5075"
"462","Chelan County","13",60,64,"5551"
"463","Chelan County","14",65,69,"5066"
"464","Chelan County","15",70,74,"3906"
"465","Chelan County","16",75,79,"2660"
"466","Chelan County","17",80,84,"1718"
"467","Chelan County","18",85,Inf,"1819"
"468","Chelan County","19",0,17,"17906"
"469","Chelan County","20",5,13,"9254"
"470","Chelan County","21",14,17,"3914"
"471","Chelan County","22",18,64,"44125"
"472","Chelan County","23",18,24,"6142"
"473","Chelan County","24",25,44,"18890"
"474","Chelan County","25",45,64,"19093"
"475","Chelan County","26",65,Inf,"15169"
"476","Chelan County","27",85,Inf,"1819"
"477","Chelan County","28",16,Inf,"61272"
"478","Chelan County","29",18,Inf,"59294"
"479","Chelan County","30",15,44,"27973"
"480","Chelan County","31",NA,NA,"40"
"481","Jefferson County","0",0,Inf,"32221"
"482","Jefferson County","1",0,4,"943"
"483","Jefferson County","2",5,9,"1051"
"484","Jefferson County","3",10,14,"1110"
"485","Jefferson County","4",15,19,"1088"
"486","Jefferson County","5",20,24,"1047"
"487","Jefferson County","6",25,29,"1273"
"488","Jefferson County","7",30,34,"1421"
"489","Jefferson County","8",35,39,"1496"
"490","Jefferson County","9",40,44,"1349"
"491","Jefferson County","10",45,49,"1540"
"492","Jefferson County","11",50,54,"1734"
"493","Jefferson County","12",55,59,"2458"
"494","Jefferson County","13",60,64,"3484"
"495","Jefferson County","14",65,69,"4044"
"496","Jefferson County","15",70,74,"3591"
"497","Jefferson County","16",75,79,"2351"
"498","Jefferson County","17",80,84,"1188"
